label,doc,sentence1,sentence2,sentence3,sentence4,sentence5
5,"During the last two decades many developing countries have joined the global tourism market as part of globalization processes and the fall of the Iron Curtain. These countries had suffered from negative public and media image which made it challenging for them to compete over tourists with countries with strong and familiar brands. In this global era, a problematic image is a major obstacle in attracting tourists, high-quality residents and investors. However, in the case of destinations suffering from prolonged image crises, it seems almost unrealistic to expect any target audience to visit a destination and “put aside” these long-lasting negative images and stereotypes, just because of an advertising campaign or other promotional effort. Tackling prolonged negative place images is crucial for developing tourism in Africa, the Middle East, Latin America, Eastern Europe and Asia. Although these destinations differ greatly, in the eyes of many potential tourists they all suffer from weak place images, negative stereotypes and problematic perceptions.",growing conflicts between tourists and local people,roles of media in shaping the global trend in tourism,necessity of global cooperation for sustainable tourism,importance of the tourism industry in national economy,developing nations’ need to improve destination images
5,"In the last few years cartography has been slipping from the control of the powerful elites that have exercised dominance over it for several hundred years. You probably already have noticed this with the emergence of fantastically popular mapping applications such as Google Earth. The elites — the map experts, the great map houses of the West, national and local governments, the major mapping and GIS companies, and to a lesser extent academics — have been confronted by important developments that threaten to undermine their dominance. For example, as Google Earth has shown, the actual business of mapmaking, of collecting spatial data and mapping it out, is passing out of the hands of the experts. The ability to make a map, even a stunning interactive 3D map, is now available to anyone with a home computer and a broadband Internet connection.",various ways of collecting geographic data,various technologies involved in map-making ,roles of maps in developing human civilizations ,regained popularity of paper maps in the digital era ,diminishing dominance of cartographic elites and its cause
2,"If we look out of a window in winter, we might see millions of identical snowflakes fluttering by. However, if we took a magnifying glass and looked at the flakes separately, we would soon discover that they were not identical — in fact, that each flake had a distinct shape that no other flake duplicated exactly. The same is true of human beings. We can tell quite a lot about what Susan will experience just by the fact that she is human. We can tell even more by knowing she is an American girl, living in a certain specific community, with parents of such and such an occupation. However, after everything is said and done, knowing all the external parameters will not allow us to predict what Susan’s life will be like. Not only because random chance might throw all bets off, but more importantly, because Susan has a mind of her own with which she can either decide to waste her opportunities, or conversely overcome some of the disadvantages of her birth.",danger of evaluating things through appearance,what makes it difficult to predict a human’s life,how to discover the beauty of natural elements,effects of external conditions on one’s personality,necessity of observation for understanding objects
2,"The regional and local press faces its own distinct problems over the faith they can place in websites to compensate for the loss in sales and advertising revenues. With property and car classified advertising moving to websites run by the estate agents, car dealers and various aggregators ― although some regional publishers are trying to compete with their own sites in these areas ― website advertising revenues are hard to come by. And will the former or current readers of local news in local papers visit the local website? Great efforts are being made, with local papers seeking to offer the stories which once proved so popular with their newspaper readers, the very local, community news. One successful example here is Gazettelive.co.uk, the site run by the Middlesbrough Gazette. Visitors to this site can click on postcodes to find news from their own district.",local papers’ role in providing community news,local papers’ struggles in securing revenue online,rivalries between online news agencies and papers ,reasons for a decline in the quality of online news,growing importance of national news over local news
3,"Some city planning experts called for legislation against texting while walking that would be followed by a deep change of norms. This recommendation is based on the assumption that this change is welcomed, but laws banning texting while walking failed in Toronto, Arkansas, Illinois, Nevada, New Jersey and New York. Meanwhile, high-tech firms are developing technological solutions to the problem, offering a transparent screen that allows pedestrians to see what is going on in front of them while texting. Another direction for adaptation to the problem was provided by city councils via better urban planning and interventions to generate awareness. Some towns and college campuses have put ‘look up’ signs in dangerous stairwells and intersections. Hong Kong added announcements in its subway system recommending that passengers look around; New York City reduced speeds for cars, and San Francisco fosters pedestrian-only corridors",the urgent necessity of regular safety drills in urban areas ,the serious effects of tech-addiction on cognitive abilities,different strategies to address the problem of texting walkers,unexpected reasons why legislation against texting while walking failed,major conflicts between advanced technology and outdated traffic systems
5,"Creating a workplace environment that positions employees to do their best work is clearly worthwhile. But it’s not the only way of using workplace design to benefit organizations. Organizations can use their space to communicate their message to the outside world. Cornell University management professor Franklin Becker compares a company’s use of office space to its “organizational body language.” When a person says one thing and their body communicates another, listeners are left confused. The same can be said for organizations that claim a particular characteristic but fail to follow through in their interior design. They come across as inauthentic to their employees, whose impressions inevitably trickle down to clients. The more a company’s message is reinforced in a workplace environment, the easier it is for employees to integrate that vision and relay it to the people they meet. This is why so many top organizations are now investing in designing interiors that are culturally distinctive and deliver a consistent message — one that the company wants to communicate with the outside world.",advantages of small organizations over large ones,how to achieve efficient communication among employees,ways to utilize an organization’s human resources effectively,necessity of a company’s customer communication channel ,importance of integrating company vision in workplace design
4,"Before television, an entertainer had to work his or her way up from the bottom, working local circuits and vacation resorts before eventually landing a spot in the big vaudeville revues. By the time the top was reached, the act was practiced and refined, and the entertainer was a veteran of the circuit. With television, all that changed. Now a green performer, thrust onto television in the Ed Sullivan Show or the Amateur Hour , could suddenly capture the attention of the nation in one brief moment. Careers could now be launched with one good appearance, where the performer would command a larger audience than a lifetime of vaudeville circuits could ever provide. The sudden rise and decline of stars became commonplace. Some, like Elvis Presley, would rise and stay at the top. Others, like Julias La Rosa, a young Brooklyn singer who rocketed to fame on Arthur Godfrey and His Friends , burned brightly and briefly before fading into obscurity. This trend continues with the brief celebrity status enjoyed by participants on today’s reality shows",potential risks of having celebrity status,the relationship between celebrities and TV ratings ,driving forces behind the emergence of television,the role of television in producing instant stars,the uncomfortable coexistence of vaudeville and television
4,"Let’s say that one of your coworkers is a particularly negative individual who is always complaining about others. In doing your situation monitoring work, you notice that being around this coworker brings down your mood. Can you think of ways to avoid ― or at least reduce the amount of time you spend with ― this person? Or if going to a fast food restaurant and overeating makes you feel more depressed, then work on reducing this type of behavior. If you notice that watching too much television or getting into arguments with your spouse/partner is associated with a negative mood, then reductions in both types of behavior may be the key to improving this mood. Sometimes you can’t resolve a depressing situation or completely avoid a person who gets you down, but you can look for ways to reduce the negative impact on your emotional state.",danger of labeling colleagues as negative,impact of working environment on job satisfaction,misconceptions about good relationships with people,necessity of reducing exposure to depressive situations,importance of keeping a balance between work and play
4,"Those who educate others about art and who employ art criticism methodologies are aware of specific approaches which emphasize focal points that should be noted in a work of art. Karen Hamblen has worked with students and museum patrons of all ages and varying cultural groups, engaging them in art criticism, and feels very strongly that many formats for this process need to be acknowledged, developed, and utilized which will present diverse perspectives. If the art critic is properly a servant, of the public and the artist, both, then he or she should choose varying ways of serving that public in order to best communicate and make the unseeable visible in a language that is understood by the public. As art critics are also models and teachers for those who are learning to engage themselves in criticism, they should look to express themselves in varying ways. ",multiple approaches to classifying artworks,difficulties in educating people about art criticism ,importance of artists having different perspectives ,necessity of conveying art criticism in various ways ,negative effects of art criticism on art interpretation 
5,"Developing countries created a bargaining issue linkage between forests and other issues and in so doing they raised the price of forest conservation. There was a clear power-based dimension to the negotiations. In terms of possession of economic power, the developed countries possess more capabilities than the developing countries on all important indicators, such as share of global GDP, GDP per capita, and influence in international economic and financial institutions. The developing countries have a history of staking a claim to the finance and technology of their developed counterparts, but prior to the advent of international environmental issues they had little they could bargain with in return. Now knowing the value attached to their forests by other countries, the developing countries, recognizing their improved bargaining power, negotiated from a perceived position of increased strength, seeking to translate the concerns of developed governments and citizens on tropical deforestation into economic and political gain.",deforestation due to industrialization in developing countries,importance of international negotiation for forest conservation,limits of economic indicators in measuring natural capital value,conflicts between rich and poor nations on environmental issues,developing countries’ growing power in environmental negotiations
1,"We humans have a self-important view of our place in the world. “Evolutionists have been preoccupied with the history of animal life in the last 500 million years,” Lynn Margulis, one of the great evolutionary biologists of our time, once wrote. She championed a different perspective; she was a defender of the microscopic beings that make all other life possible. Bacteria were the only life on Earth for about half the planet’s history. In a sense, they remain dominant even today, thriving in just about any habitat, from glacial ice to hot springs. The total mass of the world’s bacteria is probably greater than that of all other life combined. Human bodies are prime bacterial real estate. Our intestines carry several pounds of bacteria. Be thankful for their presence ― we would not be able to digest food without them.",necessity of extremely small beings,harm to humans caused by bacteria, impact of decreasing wildlife habitats , human’s dominance over other creatures ,evolution of human-centered perspective
